Año,Mes,Cuit Vendedor,Vendedor,Planta Carga,Tipo Producto,Cuit Comprador,Comprador,Actividad Comprador,Volumen Dentro,Precio Dentro Iva,Precio Dentro Sin Iva,Volumen Fuera,Precio Fuera Iva,Precio Fuera Sin Iva,Volumen Res 844/2007,Precio Res 844/2007 Iva,Precio Res 844/2007 Sin Iva,Fecha Data
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Butileno,30-50424922-7,Carboclor SA,Petroquimica,0.0,0.0,0.0,47.495,4161.99,3766.51,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Mezcla,30-50109269-6,Unilever de Argentina S.A,Aerosolera,0.0,0.0,0.0,603.88,5513.95,4990.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Mezcla,30-50374753-3,S.C.Johnson & Son de Argentina S.A.I.C.,Aerosolera,0.0,0.0,0.0,469.1,5414.5,4900.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Mezcla,30-50395437-7,SINTARYC SAIC,Aerosolera,0.0,0.0,0.0,89.76,5513.95,4990.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Mezcla,30-51698788-6,Aerofarma Laboratorios S.A.I.C.,Aerosolera,0.0,0.0,0.0,7.58,5513.95,4990.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Mezcla,30-61808496-1,Claer SA,Aerosolera,0.0,0.0,0.0,28.71,5513.95,4990.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Mezcla,30-62534679-3,NATUREL SA,Aerosolera,0.0,0.0,0.0,10.2,5635.5,5100.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Mezcla,30-71015332-5,Extrusystem SA,Aerosolera,0.0,0.0,0.0,5.34,5635.5,5100.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PLANTA CONDOR, SANTA CRUZ |Oper:Petrobras Argentina S.A.| ",Propano,30-54270057-9,Surgas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,120.0,2703.0,2446.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Propano,30-63718290-7,Cañuelas Gas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,81.64,2703.0,2446.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PLANTA CONDOR, SANTA CRUZ |Oper:Petrobras Argentina S.A.| ",Propano,30-65786442-7,Camuzzi Gas del Sur S.A.,Distribuidores por Redes,181.5,331.5,300.0,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PLANTA CONDOR, SANTA CRUZ |Oper:Petrobras Argentina S.A.| ",Propano,30-67364611-1,Distrigas S.A.,Distribuidores por Redes,288.0,331.5,300.0,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Propano,30-68092234-5,Italgas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,60.44,2703.0,2446.0,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Propileno,30-50424922-7,Carboclor SA,Petroquimica,0.0,0.0,0.0,10.89,10514.95,9515.79,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Propileno,30-50424922-7,Carboclor SA,Petroquimica,0.0,0.0,0.0,76.32,10544.51,9542.54,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Propileno,30-58342640-6,Petroquimica Cuyo S.A.I.C.,Petroquimica,0.0,0.0,0.0,621.9,10005.41,9054.67,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,"PUERTO GENERAL SAN MARTIN, SANTA FE |Oper:Petrobras Argentina S.A.| ",Propileno,30-58342640-6,Petroquimica Cuyo S.A.I.C.,Petroquimica,0.0,0.0,0.0,972.38,10010.47,9059.25,0.0,0,0,2014-01-31
2014,1,30504077078,Petrobras Argentina S.A.,REF BAHIA BLANCA |Oper:Petrobras Argentina S.A.| ,Propileno,30-62642725-8,Petroken Petroquímica Ensenada S.A.,Petroquimica,0.0,0.0,0.0,151.12,7458.75,6750.0,0.0,0,0,2014-01-31
2014,1,30506726804,RAIZEN ARGENTINA S.A.U,"DOCK SUD, BUENOS AIRES |Oper:RAIZEN ARGENTINA S.A.U| ",Butano,30-54668997-9,YPF SOCIEDAD ANONIMA,Productora,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506726804,RAIZEN ARGENTINA S.A.U,"DOCK SUD, BUENOS AIRES |Oper:RAIZEN ARGENTINA S.A.U| ",Butano,30-69375651-7,Natural Gas S.A.,Fraccionadora Envases y Granel,3236.65,100.0,90.4999999999999,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506726804,RAIZEN ARGENTINA S.A.U,"DOCK SUD, BUENOS AIRES |Oper:RAIZEN ARGENTINA S.A.U| ",Propano,30-50407707-8,Petrobras Argentina S.A.,Productora,0.0,0.0,0.0,1057.94,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506726804,RAIZEN ARGENTINA S.A.U,"DOCK SUD, BUENOS AIRES |Oper:RAIZEN ARGENTINA S.A.U| ",Propano,30-54668997-9,YPF SOCIEDAD ANONIMA,Productora,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506726804,RAIZEN ARGENTINA S.A.U,"DOCK SUD, BUENOS AIRES |Oper:RAIZEN ARGENTINA S.A.U| ",Propano,30-69375651-7,Natural Gas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,1037.73,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506726804,RAIZEN ARGENTINA S.A.U,"DOCK SUD, BUENOS AIRES |Oper:RAIZEN ARGENTINA S.A.U| ",Propileno,30-62642725-8,Petroken Petroquímica Ensenada S.A.,Petroquimica,0.0,0.0,0.0,1923.53378,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,30-50407707-8,Desconocido,Productora,0.0,0.0,0.0,421.82,2576.03,2331.25,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,30-51548847-9,YPF Gas S.A.,Fraccionadora Envases y Granel,819.88,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,30-51563721-0,Amarilla Gas S.A,Fraccionadora Envases y Granel,1479.46,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,30-51706247-9,Bragas S.A.C.I.F.I.A.,Fraccionadora Envases y Granel,64.42,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,30-51709512-1,Gas Areco S.A.C.I.,Fraccionadora Envases y Granel,627.32,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,30-63718290-7,Cañuelas Gas S.A.,Fraccionadora Envases y Granel,1120.88,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,30-68092234-5,Italgas S.A.,Fraccionadora Envases y Granel,332.48,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,30-68604547-8,Gas Argentino SRL,Fraccionadora Envases y Granel,339.36,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butano,33-70771202-9,Federal Gas S.A.,Fraccionadora Envases y Granel,44.44,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Butileno,30-50424922-7,Desconocido,Petroquimica,0.0,0.0,0.0,1918.016,4203.38,3803.96,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Mezcla,30-50109269-6,Unilever de Argentina S.A,Aerosolera,0.0,0.0,0.0,275.96,5217.11679228874,4721.37266270474,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Mezcla,30-50374753-3,S.C.Johnson & Son de Argentina S.A.I.C.,Aerosolera,0.0,0.0,0.0,233.1,5303.47380952381,4799.52380952381,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Mezcla,30-54187021-7,Probusol SA,Aerosolera,0.0,0.0,0.0,14.6,5414.5,4900.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Mezcla,30-63718290-7,Cañuelas Gas S.A.,Fraccionadora Envases y Granel,20.8,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Mezcla,30-67949425-9,Aerosoles y Servicios S.A.,Aerosolera,0.0,0.0,0.0,17.06,4729.4,4280.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Mezcla,30-70900727-7,Energy Bs. As. S.A,Comercializadora,0.0,0.0,0.0,22.98,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-50407707-8,Desconocido,Productora,0.0,0.0,0.0,320.54,2706.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,CAMPANA CARBOCLOR |Oper:Axion Energy Argentina SA| ,Propano,30-50407707-8,Desconocido,Productora,0.0,0.0,0.0,423.7,2706.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-51563721-0,Amarilla Gas S.A,Fraccionadora Envases y Granel,0.0,0.0,0.0,41.24,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,CAMPANA CARBOCLOR |Oper:Axion Energy Argentina SA| ,Propano,30-51563721-0,Amarilla Gas S.A,Fraccionadora Envases y Granel,0.0,0.0,0.0,527.42,2689.62782488339,2434.05233021122,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,ENSENADA PETROKEN |Oper:Axion Energy Argentina SA| ,Propano,30-51709512-1,Gas Areco S.A.C.I.,Fraccionadora Envases y Granel,0.0,0.0,0.0,65.0,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-51709512-1,Gas Areco S.A.C.I.,Fraccionadora Envases y Granel,0.0,0.0,0.0,195.98,2666.11499642821,2412.77375242372,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,ENSENADA PETROKEN |Oper:Axion Energy Argentina SA| ,Propano,30-55449610-1,Total Especialidades Argentina S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,20.56,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-55449610-1,Total Especialidades Argentina S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,44.5,2543.71,2302.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-58342640-6,Petroquimica Cuyo S.A.I.C.,Petroquimica,0.0,0.0,0.0,270.417,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,CAMPANA CARBOCLOR |Oper:Axion Energy Argentina SA| ,Propano,30-63718290-7,Cañuelas Gas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,45.56,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-63718290-7,Cañuelas Gas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,65.16,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,ENSENADA PETROKEN |Oper:Axion Energy Argentina SA| ,Propano,30-63718290-7,Cañuelas Gas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,89.26,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,CAMPANA CARBOCLOR |Oper:Axion Energy Argentina SA| ,Propano,30-68092234-5,Italgas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,21.86,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,ENSENADA PETROKEN |Oper:Axion Energy Argentina SA| ,Propano,30-68092234-5,Italgas S.A.,Fraccionadora Envases y Granel,0.0,0.0,0.0,22.12,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-68902245-2,Gasoline Service SA,Comercializadora,0.0,0.0,0.0,21.48,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-70853403-6,Distribuidora Lidergas,Fraccionadora Envases y Granel,0.0,0.0,0.0,22.22,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,CAMPANA CARBOCLOR |Oper:Axion Energy Argentina SA| ,Propano,30-70853403-6,Distribuidora Lidergas,Fraccionadora Envases y Granel,0.0,0.0,0.0,22.54,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-70900727-7,Energy Bs. As. S.A,Comercializadora,0.0,0.0,0.0,66.1,2702.83,2446.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propano,30-71192425-2,Granel Gas SRL (LPG y derivados SRL),Comercializadora,0.0,0.0,0.0,21.36,2543.71,2302.0,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propileno,30-50424922-7,Desconocido,Petroquimica,0.0,0.0,0.0,1650.37,6982.88502378255,6319.35081072729,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propileno,30-58342640-6,Desconocido,Petroquimica,0.0,0.0,0.0,463.67,10114.8755414411,9153.73292729743,0.0,0,0,2014-01-31
2014,1,30506919009,Axion Energy Argentina SA,"CAMPANA, BUENOS AIRES |Oper:Axion Energy Argentina SA| ",Propileno,30-62642725-8,Desconocido,Petroquimica,0.0,0.0,0.0,405.4,11362.72,10283.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,"EL PORTON, NEUQUEN |Oper:YPF SOCIEDAD ANONIMA| ",Butano,30-51548847-9,YPF Gas S.A.,Fraccionadora Envases y Granel,44.01,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,"LUJAN DE CUYO, MENDOZA |Oper:YPF SOCIEDAD ANONIMA| ",Butano,30-51548847-9,YPF Gas S.A.,Fraccionadora Envases y Granel,1202.97,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,COMPLEJOS CERRI - BAHIA BLANCA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-51548847-9,YPF Gas S.A.,Fraccionadora Envases y Granel,1185.84,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-51548847-9,YPF Gas S.A.,Fraccionadora Envases y Granel,1152.82,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA MONTE CRISTO |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-51548847-9,YPF Gas S.A.,Fraccionadora Envases y Granel,843.06,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,DOCK SUD |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-51548847-9,YPF Gas S.A.,Fraccionadora Envases y Granel,743.38,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,"LEALES, TUCUMAN |Oper:YPF SOCIEDAD ANONIMA| ",Butano,30-51548847-9,YPF Gas S.A.,Fraccionadora Envases y Granel,1327.29,100.000170573123,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-51563721-0,Amarilla Gas S.A,Fraccionadora Envases y Granel,1248.92,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-51706247-9,Bragas S.A.C.I.F.I.A.,Fraccionadora Envases y Granel,267.92,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-51709512-1,Gas Areco S.A.C.I.,Fraccionadora Envases y Granel,461.7,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54270057-9,Surgas S.A.,Fraccionadora Envases y Granel,449.72,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54302442-9,Las Varillas Gas SACI,Fraccionadora Envases y Granel,713.66,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA MONTE CRISTO |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54302442-9,Las Varillas Gas SACI,Fraccionadora Envases y Granel,45.69,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54569719-6,Cooperativa de Usuarios de Electricidad y de Consumo de Castelli Limitada.,Fraccionadora Envases y Granel,159.82,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54571792-8,Cooperativa  Electrica de Galvez Limitada.,Fraccionadora Envases y Granel,45.92,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54572290-5,Cooperativa Electrica Mixta del Oeste y Otros Servicios Publicos Limitada,Fraccionadora Envases y Granel,45.94,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA MONTE CRISTO |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54572290-5,Cooperativa Electrica Mixta del Oeste y Otros Servicios Publicos Limitada,Fraccionadora Envases y Granel,22.98,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA MONTE CRISTO |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54575800-4,Cooperativa de Energía Eléctrica y Otros Servicios Públicos de LasVarillas Limitada,Fraccionadora Envases y Granel,22.8,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA LA PLATA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-54582680-8,Cooperativa de Provisión de Obras Y Servicios Públicos Clorinda Ltda.,Fraccionadora Envases y Granel,67.88,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,"EL PORTON, NEUQUEN |Oper:YPF SOCIEDAD ANONIMA| ",Butano,30-61232352-2,I.P. S.A.,Consumidor independiente,0.0,0.0,0.0,158.41,2915.1416488858,2638.13723881068,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,COMPLEJOS CERRI - BAHIA BLANCA |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-61232352-2,I.P. S.A.,Consumidor independiente,0.0,0.0,0.0,347.4,2956.98,2676.0,0.0,0,0,2014-01-31
2014,1,30546689979,YPF SOCIEDAD ANONIMA,REFINERIA MONTE CRISTO |Oper:YPF SOCIEDAD ANONIMA| ,Butano,30-61544169-0,Special Gas S.A.,Fraccionadora Envases y Granel,46.82,100.0,90.5,0.0,0.0,0.0,0.0,0,0,2014-01-31
